RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_06,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_07,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_08,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_09,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_10,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_11,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_12,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_13,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_14,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_15,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_16,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_17,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_18,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_19,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_20,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_21,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_22,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_23,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_24,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_25,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_26,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_27,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_28,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_29,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_30,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_31,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_32,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_33,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_34,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_35,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_36,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_37,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_38,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_39,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_40,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_41,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_42,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_43,1,0.85,1,0.01,0.05,0,0.1,0
Zone 4,YH090,703,06,00,A,Southside,01,PLAZA,Generic,10334.93,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 4,YH090,703,07,00,A,Southside,01,PLAZA,Generic,13100.47,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 4,YH090,703,05,00,A,Southside,01,PLAZA,Generic,8383.20,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 1,YH090,205,01,00,A,Northside,01,PLAZA,Generic,11577.80,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 1,YH090,205,19,00,A,Northside,01,PLAZA,Generic,9222.86,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 1,YH090,205,18,00,A,Northside,01,PLAZA,Generic,12325.15,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 1,YH090,205,02,00,A,Northside,01,PLAZA,Generic,9646.38,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 3,YH090,205,11,00,A,Northside,01,PLAZA,Generic,13971.37,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
Zone 3,YH090,205,17,00,A,Northside,01,PLAZA,Generic,16401.79,TT FFL_00 (+5.40),0,0,0,0,0,0,0,0
