,RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits,Envelope Material
77,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_00 (+5.40),1,0.85,1,0.01,0.05,0,0.1,0,undefined
78,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_01,1,0.85,1,0.01,0.05,0,0.1,0,undefined
79,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_02,1,0.85,1,0.01,0.05,0,0.1,0,undefined
80,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_03,1,0.85,1,0.01,0.05,0,0.1,0,undefined
81,Zone 5,YH090,704,01,0,A,Southside,1,COMMERCIAL,OFFICE,3600.0,TT FFL_00 (+5.40),1,0.85,1,0.01,0.05,0,0.1,0,undefined
82,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_00 (+5.40),1,0.85,1,0.01,0.05,0,0.1,0,undefined
83,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_01,1,0.85,1,0.01,0.05,0,0.1,0,undefined
84,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_02,1,0.85,1,0.01,0.05,0,0.1,0,undefined
85,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_03,1,0.85,1,0.01,0.05,0,0.1,0,undefined
86,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_04,1,0.85,1,0.01,0.05,0,0.1,0,undefined
87,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_05,1,0.85,1,0.01,0.05,0,0.1,0,undefined
88,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_06,1,0.85,1,0.01,0.05,0,0.1,0,undefined
89,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_07,1,0.85,1,0.01,0.05,0,0.1,0,undefined
90,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_08,1,0.85,1,0.01,0.05,0,0.1,0,undefined
91,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_09,1,0.85,1,0.01,0.05,0,0.1,0,undefined
92,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_10,1,0.85,1,0.01,0.05,0,0.1,0,undefined
93,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_11,1,0.85,1,0.01,0.05,0,0.1,0,undefined
94,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_12,1,0.85,1,0.01,0.05,0,0.1,0,undefined
95,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_13,1,0.85,1,0.01,0.05,0,0.1,0,undefined
96,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_14,1,0.85,1,0.01,0.05,0,0.1,0,undefined
97,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_15,1,0.85,1,0.01,0.05,0,0.1,0,undefined
98,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_16,1,0.85,1,0.01,0.05,0,0.1,0,undefined
99,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_17,1,0.85,1,0.01,0.05,0,0.1,0,undefined
100,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_18,1,0.85,1,0.01,0.05,0,0.1,0,undefined
101,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_19,1,0.85,1,0.01,0.05,0,0.1,0,undefined
102,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_20,1,0.85,1,0.01,0.05,0,0.1,0,undefined
103,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_21,1,0.85,1,0.01,0.05,0,0.1,0,undefined
104,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_22,1,0.85,1,0.01,0.05,0,0.1,0,undefined
105,Zone 5,YH090,704,07,0,A,Southside,1,COMMERCIAL,OFFICE,2784.17,TT FFL_23,1,0.85,1,0.01,0.05,0,0.1,0,undefined
