Project Name,Project Number,Project Type
East Manchester Strategic Masterplan,3030,Masterplanning
"East River Waterfront, NY",4360,Masterplanning
East Xinqiao Masterplan,12210,Masterplanning
Eastern City Cluster,8000,
Ebbsfleet,2380,Transport
Ebbsfleet South,4110,Masterplanning
EC Grant - Daimler Chrysler,1852,Office
Ecoquartier Seine,12820,Masterplanning
Edgar Road,11290,Residential
Edgware Broadwalk Masterplan,50027,Modular Housing
Edward Street - Deptford,11350,Residential
Eec - Joule,2121,Office
Eiffel Tower Redevelopment,11920,Civic
Eindhoven Masterplan,3490,Masterplanning
El Canaveral - Madrid,5380,Masterplanning
Elan Research Institute - Dublin,3000,R & D
Electric Vehicle Charging,12095,Utilities
Electronic Arts,2740,Office
Electronic Document Mgmt Systems,0556,Internal
Elias Residence,1341,Residential
Elizabeth House - Waterloo,11570,Mixed Use
Elizabeth Quay - Perth,10390,Mixed Use
Empire Road Residences,12420,Residential
"English Industrial Estates, Gateshead",0006,Office
Enm Bordeaux,1991,Education
Epamarne,1300,Masterplanning
Epamarne 2,1301,Masterplanning
EPFL Advanced Science Building,13195,Education
EPFL Education Hub,13300,Education
Epone,0368,Retail
ESET Headquarters Campus,12365,Office
Esselunga Retail,11800,Retail
Estacion de Autobuses y Parque - Caracas,10180,Transport
Este - Valladolid,4870,Masterplanning
Etoile Strasbourg,1510,Masterplanning
Euralille,1320,Office
"Euralille-tour "" Voix Du Nord""",1321,Office
Euro Airport Basel,12025,Transport
Eurocarree Frankfurt,2391,Transport
European Court of Human Rights,1120,Civic
European Investment Bank - Luxembourg,3750,Office
European Patent Office,4550,Office
European School of Osteopathy- Maidstone,6730,Education
Europier - 3D,2140,Transport
Europier - Additional Fees,1961,Transport
"Europier, Heathrow",1960,Transport
Euston Station,5490,Masterplanning
Evergrande Water World,12075,Retail
Ex Alitalia Site,4390,Mixed Use
Exhibitions - General,7100,Exhibition
Extension Task Force Work,2833,Other
Fairfield Halls - Croydon,3950,Mixed Use
Falkirk Schools,5040,Education
Farglory,5630,Office
Farglory Masterplan,6160,Masterplanning
Farnborough Masterplan,1011,Masterplanning
FC Barcelona,10820,Recreation
FeliCity Development,12400,Mixed Use
Financial Times Competition,0377,Office
Finsbury Market,3980,Retail
First Base,4010,Residential
First Nations Archive,13540,
First United Methodist Church,0008,Cultural & Leisure
Fish Lake,12320,Masterplanning
Fishermans Bend,12145,Residential
Flats - Hampstead,1630,Residential
Fleet Air Arm Museum,0041,Cultural & Leisure
Fleet Street Estate,12065,Civic
Fleetguard,1750,Industrial
Floating Restaurant,0361,Hotels &  Restaurants
Florence Lecture,7002,Internal
Floridian Palace,12175,Residential
Floridian Palace,12175,
Flour Mills,2100,Residential
FNC,6080,Civic
Fore Street,50005,Modular Housing
Forest City Masterplan,12990,Masterplanning
Four Seasons Hotel Taipei,12335,Office
Foxhill,50013,Modular Housing
Franco British Hospital,13005,Health & Science
Frankfurt Am Main,1830,Office
Frankfurt Gallus-Park,1860,
Frankfurt Tower,3070,Office
Free Trade Wharf Development,0214,Residential
Fubon D1 Taipei,10950,Residential
Fubon D3 Taipei,11420,Residential
Fubon Group HQ - Taipei,10570,Office
Fubon Insurance HQ,12200,Office
Fubon Life Nangang Development,12690,Mixed Use
Fubon Tainan,11510,Residential
Fuji Restaurant,2690,Hotels &  Restaurants
Fujisawa - Tokyo,0510,Office
Fulham Wharf - London,5320,Office
Futurum X,1240,Hotels &  Restaurants
Gambia Street,3870,Masterplanning
Gare de Lyon - Daumesnil,10550,Masterplanning
Garellano - Bilbao,11580,Masterplanning
Garellano Bilbao Phase Two,12045,
Garellano Masterplan,5660,Masterplanning
Gemdale Development,12590,Mixed Use
Geneva Airport - Project RD,6247,Transport
"Geneva Airport, Aile Est",6240,Transport
Geneva Childrens Hospital,12890,Health & Science
Gifu Masterplan,9010,Masterplanning
Gillette Corner - Isleworth,10350,Masterplanning
Gillette Studios Masterplan,12345,Mixed Use
Glasgow Bidge New Feasibility Study,4311,Transport
Glasgow Bridge,4310,Transport
Glasgow High School,80004,
Glasgow Transport Museum,4750,Cultural & Leisure
Glass Reinforced Cement Research,0009,R & D
Goodwoof,8000,
Granada Masterplan,4860,Masterplanning
Grand Euralille,13070,Masterplanning
Grand Marnier Visitor Centre,11810,Recreation
Grand Marseille - Metropolitan Study,10720,Masterplanning
Grand Paris,5500,Masterplanning
Grand Paris,5505,Masterplanning
Grand Paris 2,5506,Masterplanning
Grand Union Building,2906,Mixed Use
GRC Head Offices Lyon,0590,Office
Grc Head Quarters No. 2,1190,Office
Great West Road,13515,Mixed Use
Greater London Authority,3240,Other
Gree Gas Station,12215,
Gree Sijing,11250,Residential
Green Gables Evesham,11300,Residential
Greenwich - Baby Dome,2617,Recreation
Greenwich - Site Wide Masterplan,2612,Masterplanning
Greenwich Mas - Mex Site,2613,Recreation
Greenwich Masterplan,2610,Masterplanning
Greenwich Mpl - North Site Review,2615,Recreation
Greenwich OSM Provider,50006,Modular Housing
Greenwich Peninsula Hotel,4910,Hotels &  Restaurants
GRIPS,3350,Education
Grosvenor Docks,3280,Masterplanning
Grosvenor Rd Special Services,1271,Residential
Grosvenor Riverside,1273,Residential
Grosvenor Road,1270,Residential
Grosvenor Road,2510,
Grosvenor Road Marketing,1272,Residential
Guangdong-Hong Kong-Macao Youth Entrepre,12115,Office
Guangzhou Railway Station,4560,Transport
Guangzhou Sightseeing Tower,4570,Recreation
"Guangzhou University City, China",4030,Masterplanning
GUB Efficiency Audit,2908,Office
GUB Marketing Update,2907,Office
Guggenheim Helsinki,10740,Cultural & Leisure
Guildford - Bedford Road,4080,Masterplanning
Guildford Exchange,3790,Mixed Use
Guimarães 2023,8000,
Guiwan Apartment Towers,12300,Residential
Guoshen Museum,12550,Cultural & Leisure
Gyeong Gi Do,5880,Civic
Gypsy Corner Redevelopment,5850,Mixed Use
H-FARM,11230,Education
Haiya Mixed Used Development,12740,Mixed Use
Hamburg - Three Sites,2320,Masterplanning
Hamburg Holzhafen,2260,Masterplanning
Hammersmith & Fulham Civic Campus,11490,Mixed Use
Hammersmith - CMT Facades,11491,Mixed Use
Hammersmith - CMT Inclusive Design,11492,Mixed Use
Hammersmith BID Public Realm,12885,Civic
Hammersmith CMT New Build,11493,
Hammersmith CMT Town Hall,11494,
Hammersmith CMT Town Hall,11494,
Hangzhou Central Axis Masterplan,13455,Masterplanning
Hangzhou Grand Convention Centre,12685,Mixed Use
Hangzhou Museum Vanke,12140,Cultural & Leisure
Hangzhou Qiantang Bay CBD,12810,Masterplanning
Hanover Square CMT,10675,Residential
Haringey,3960,Masterplanning
Haringey Warehouse - Unit D,50023,Modular Housing
Haringey Warehouse District Masterplan,50024,Modular Housing
Haringey Warehouse Living,50017,Modular Housing
Harrow Appi School,12225,Education
Harvard Allston,4440,Education
Harvard Law School,4445,Education
Harvard University Science Building,5050,Education
Hayes Station,3570,Masterplanning
HCS Montpelier,3770,
Health Campus Granada - Spain,5290,Health & Science
Heathrow - Framework,1063,Transport
Heathrow - Terminal 1,1980,Transport
Heathrow Air Traffic Control Tower,1066,Transport
Heathrow Express,2000,Transport
Heathrow Innovation Partners,12010,Transport
Heathrow T5 - Scheme Dev Studies,1064,Transport
Heathrow T5 Multi-level,1062,Transport
Heathrow T6,11090,Transport
Heathrow Terminal 5,1065,Transport
HEC Campus Saclay,13400,Education
Henan Airport,10850,Transport
Henderson House,6400,Residential
Heron Quays West Revisited,5365,Office
Hertsmere House Redevelopment,11985,Mixed Use
Herzeliah,2450,
Hesperia Hotel,2930,Hotels &  Restaurants
Highwealth Taichung Residential,13180,Residential
Highwealth Tianmu Residential,13185,Residential
Hirshhorn Museum Renovation,12490,Cultural & Leisure
HOK Architects,2295,Other
Holland Park Housing,3220,Residential
Holly Frindle,2821,Residential
Holly Frindle,2820,Residential
Home Park - Lewisham,11340,Residential
Homefield School,0010,Education
Homeshell,10160,Residential
Hong Kong Airport,1670,Transport
Hong Kong Exhibition,7114,Exhibition
Hong Kong-Zhuhai-Macao Bridge,6360,Transport
Horse Soldier Bourbon Distillery,12605,Industrial
Hospital Hospitalet De Llobregat,5820,Health & Science
Houhai Commercial Development,11630,
House Account,0101,Internal
Housing Research,3605,Residential
"Housing, Healy Homes",0011,Residential
HS2,11280,Transport
HS2 Peer Review,13500,Transport
Huangshan - China,6550,Residential
